MOR tags,ID,DCOI,FORM,EXAMPLES,
pro:dem:pron&3s/p-STAN-VOL,[U524c],"VNW(aanw,pron,stan,vol,3,getal)",lemma,die,
pro:dem:pron&3s:m-POSS-VOL,[T525a],"VNW(aanw,pron,gen,vol,3m,ev)",lemma,diens voorkeur,
pro:dem:pron&3s:o-POSS-VOL,[T525b],"VNW(aanw,pron,gen,vol,3o,ev)",lemma,en dies meer,
pro:dem:loc&3s/p:o-OBL-VOL,[U526a],"VNW(aanw,adv-pron,obl,vol,3o,getal)",lemma,"hier, daar",
pro:dem:loc&3s/p-STAN-RED,[U527a],"VNW(aanw,adv-pron,stan,red,3,getal)",lemma,"d’r, het niet-kwantitatieve ‘er’",
pro:dem:det-STAN-PRE-Z-EVON,[U528a],"VNW(aanw,det,stan,prenom,zonder,evon)",lemma,"dat boek, dit dier, ginds bos, zulk hout",
pro:dem:det-STAN-PRE-Z-REST,[U528b],"VNW(aanw,det,stan,prenom,zonder,rest)",lemma,die stoel(en),
pro:dem:det-STAN-PRE-Z-AGR,[U528c],"VNW(aanw,det,stan,prenom,zonder,agr)",lemma,zo’n boek(en),
pro:dem:det-STAN-PRE-E-REST,[U528d],"VNW(aanw,det,stan,prenom,met-e,rest)",lemma,"deze man, gene zijde, gindse heuvel, zulke balken",
pro:dem:det-POSS-PRE-E-REST,[U529a],"VNW(aanw,det,gen,prenom,met-e,rest)",lemma,"een dezer dagen, de notulen dier vergadering",
pro:dem:det-DAT-PRE-E-EVMO,[T530a],"VNW(aanw,det,dat,prenom,met-e,evmo)",lemma,te dien tijde,
pro:dem:det-DAT-PRE-E-EVF,[T530b],"VNW(aanw,det,dat,prenom,met-e,evf)",lemma,in dier voege,
pro:dem:det-STAN-DECL-E-ZN,[U531b],"VNW(aanw,det,stan,nom,met-e,zonder-n)",lemma,"deze, gene, datgene, degene, diegene",
pro:dem:det-STAN-DECL-E-MN,[U531c],"VNW(aanw,det,stan,nom,met-e,mv-n)",lemma,"dezen, genen, degenen, diegenen",
pro:dem:det-POSS-DECL-E-ZN,[T532a],"VNW(aanw,det,gen,nom,met-e,zonder-n)",lemma,"schrijver dezes, de twintigste dezer",
pro:dem:det-DAT-DECL-E-ZN,[T533a],"VNW(aanw,det,dat,nom,met-e,zonder-n)",lemma,dat is dan bij dezen beslist,
pro:dem:det-STAN-VRIJ-Z,[U534a],"VNW(aanw,det,stan,vrij,zonder)",lemma,zulk een vreemde gedachte,
pro:indef:pron&3s-STAN-VOL,[U535a],"VNW(onbep,pron,stan,vol,3p,ev)",lemma,"alleman, (n)iemand, iedereen, elkeen, menigeen",
pro:indef:pron&3s:o-STAN-VOL,[U535b],"VNW(onbep,pron,stan,vol,3o,ev)",lemma,"alles, (n)iets, niks, wat, zoiets",
pro:indef:pron&3s-POSS-VOL,[U536a],"VNW(onbep,pron,gen,vol,3p,ev)",lemma,"allemans, andermans, (n)iemands, (een)ieders",
pro:indef:loc&3s/p:o-OBL-VOL,[U537a],"VNW(onbep,adv-pron,obl,vol,3o,getal)",lemma,"(n)ergens, overal",
pro:indef:loc&3s/p-POSS-RED,[U538a],"VNW(onbep,adv-pron,gen,red,3,getal)",lemma,het kwantitatieve ‘er’,
pro:indef:det-STAN-PRE-Z-EVON,[U539a],"VNW(onbep,det,stan,prenom,zonder,evon)",lemma,"elk huis, ieder kind, enig benul, een enkel woord, sommig bier",
pro:indef:det-STAN-PRE-Z-AGR,[U539b],"VNW(onbep,det,stan,prenom,zonder,agr)",lemma,"geen kind(eren), menig politicus",
pro:indef:det-STAN-PRE-E-EVZ,[U539c],"VNW(onbep,det,stan,prenom,met-e,evz)",lemma,"elke hond, iedere keer, ene mijnheer X, menige",
pro:indef:det-STAN-PRE-E-MV,[U539d],"VNW(onbep,det,stan,prenom,met-e,mv)",lemma,ettelijke,
pro:indef:det-STAN-PRE-E-REST,[U539e],"VNW(onbep,det,stan,prenom,met-e,rest)",lemma,"sommige, enige, enkele",
pro:indef:det-STAN-PRE-E-AGR,[U539f],"VNW(onbep,det,stan,prenom,met-e,agr)",lemma,"alle mensen, hoop, vee",
pro:indef:det-POSS-PRE-E-MV,[T540a],"VNW(onbep,det,gen,prenom,met-e,mv)",lemma,proletariers aller landen,
pro:indef:det-DAT-PRE-E-EVMO,[T541a],"VNW(onbep,det,dat,prenom,met-e,evmo)",lemma,te allen prijze,
pro:indef:det-DAT-PRE-E-EVF,[T541b],"VNW(onbep,det,dat,prenom,met-e,evf)",lemma,te eniger tijd,
pro:indef:grad-STAN-PRE-Z-AGR-BAS,[U542a],"VNW(onbep,grad,stan,prenom,zonder,agr,basis)",lemma,"veel plezier, weinig geld",
pro:indef:grad-STAN-PRE-E-AGR-BAS,[U542b],"VNW(onbep,grad,stan,prenom,met-e,agr,basis)",lemma,"het vele plezier, de weinige toeschouwers",
pro:indef:grad-STAN-PRE-E-MV-BAS,[U542c],"VNW(onbep,grad,stan,prenom,met-e,mv,basis)",lemma,beide mannen,
pro:indef:grad-STAN-PRE-Z-AGR-CP,[U542d],"VNW(onbep,grad,stan,prenom,zonder,agr,comp)",lemma,"meer tijd, minder werk",
pro:indef:grad-STAN-PRE-E-AGR-SP,[U542e],"VNW(onbep,grad,stan,prenom,met-e,agr,sup)",lemma,"de meeste mensen, het minste tijd",
pro:indef:grad-STAN-PRE-E-AGR-CP,[U542f],"VNW(onbep,grad,stan,prenom,met-e,agr,comp)",lemma,in mindere mate,
pro:indef:det-STAN-DECL-E-MN,[U543a],"VNW(onbep,det,stan,nom,met-e,mv-n)",lemma,"allen, sommigen, enkelen, de enen",
pro:indef:det-STAN-DECL-E-ZN,[U543b],"VNW(onbep,det,stan,nom,met-e,zonder-n)",lemma,het ´ene ... het andere,
pro:indef:det-STAN-DECL-Z-ZN,[U543c],"VNW(onbep,det,stan,nom,zonder,zonder-n)",lemma,het ´e´en en ander,
pro:indef:det-POSS-DECL-E-MN,[T544a],"VNW(onbep,det,gen,nom,met-e,mv-n)",lemma,met aller instemming,
pro:indef:grad-STAN-DECL-E-ZN-BAS,[U545a],"VNW(onbep,grad,stan,nom,met-e,zonder-n,basis)",lemma,het weinige,
pro:indef:grad-STAN-DECL-E-MN-BAS,[U545b],"VNW(onbep,grad,stan,nom,met-e,mv-n,basis)",lemma,"velen, weinigen, beiden",
pro:indef:grad-STAN-DECL-E-ZN-SP,[U545d],"VNW(onbep,grad,stan,nom,met-e,zonder-n,sup)",lemma,"het minste wat je kan zeggen, de meeste",
pro:indef:grad-STAN-DECL-E-MN-SP,[U545e],"VNW(onbep,grad,stan,nom,met-e,mv-n,sup)",lemma,"de minsten, de meesten",
pro:indef:grad-STAN-DECL-Z-MN-DIM,[U545f],"VNW(onbep,grad,stan,nom,zonder,mv-n,dim)",lemma,met z’n beidjes,
pro:indef:grad-POSS-DECL-E-MN-BAS,[T546a],"VNW(onbep,grad,gen,nom,met-e,mv-n,basis)",lemma,"tot veler verbazing, met beider instemming",
pro:indef:det-STAN-VRIJ-Z,[U547a],"VNW(onbep,det,stan,vrij,zonder)",lemma,"ze kregen elk/ieder/allebei een bal, al die mensen",
pro:indef:grad-STAN-VRIJ-Z-BAS,[U548a],"VNW(onbep,grad,stan,vrij,zonder,basis)",lemma,"dat is te weinig, veel groter",
pro:indef:grad-STAN-VRIJ-Z-SP,[U548b],"VNW(onbep,grad,stan,vrij,zonder,sup)",lemma,"de minst gevraagde, de meest gezochte",
pro:indef:grad-STAN-VRIJ-Z-CP,[U548c],"VNW(onbep,grad,stan,vrij,zonder,comp)",lemma,"minder werken, meer slapen",
det:def-STAN-EVON,[T601],"LID(bep,stan,evon)",lemma,"het kind, in ’t geniep",
det:def-STAN-REST,[T602],"LID(bep,stan,rest)",lemma,"de hond(en), de kinderen",
det:def-POSS-EVMO,[T603],"LID(bep,gen,evmo)",lemma,"des duivels, ’s avonds,",
det:def-POSS-REST,[U604],"LID(bep,gen,rest)",lemma,"der Nederlandse taal, der Belgen",
det:def-DAT-EVMO,[T605],"LID(bep,dat,evmo)",lemma,"op den duur, om den brode",
det:def-DAT-EVF,[T606],"LID(bep,dat,evf)",lemma,in der minne,
det:def-DAT-MV,[T607],"LID(bep,dat,mv)",lemma,die in den hemelen zijt,
det:indef-STAN-AGR,[U608],"LID(onbep,stan,agr)",lemma,"een kind, een mensen dat er waren",
det:indef-POSS-EVF,[T609],"LID(onbep,gen,evf)",lemma,de kracht ener vrouw,
prep:init,[T701],VZ(init),lemma,"met een lepeltje, met Jan in het hospitaal, met zo te roepen",
prep:fin,[T702],VZ(fin),lemma,"liep de trap af, bij de beesten af, speelt het bandje af",
prep-VERSM,[T703],VZ(versm),lemma,"ten strijde, ten hoogste, ter plaatse",
conj:neven,[T801],VG(neven),lemma,Jan en Peter; en toen gebeurde het,
conj:onder,[T802],VG(onder),lemma,omdat ze zich niet goed voelt,
adv,[T901],BW(),lemma,"gisteren, nu, niet, nog, al, hoe",
interj,[T001],TSW(),lemma,"oei, amai, uh, hoera",
n-DIAL,[R101],"N(soort,dial)",lemma,bompa*d,
n:prop-DIAL,[R102],"N(eigen,dial)",lemma,@@,
adj-DIAL,[R201),ADJ(dial),lemma,ne*d langen*d toot*d,
v-DIAL,[R301],WW(dial),root,"’k zen*d nie*d thuis, ’k hem*d gee*d geld",
det:num-DIAL,[R401],"TW(hoofd,dial)",lemma,,
adj:num-DIAL,[R402),"TW(rang,dial)",lemma,den*d elfste*d,
pro:pers-DIAL,[R501],"VNW(pers,pron,dial)",lemma,"kom de*d gij mee, ’k heb ulie*d gezien",
pro:ref-DIAL,[R502],"VNW(refl,pron,dial",lemma,,
pro:recip-DIAL,[R503),"VNW(recip,pron,dial)",lemma,we zien malkanderen*d niet veel,
pro:poss-DIAL,[R504],"VNW(bez,det,dial)",lemma,hij heeft z’ne*d frak*d vergeten,
pro:q:pron-DIAL,[R505],"VNW(vrag,pron,dial)",lemma,,
pro:q:det-DIAL,[R506),"VNW(vrag,det,dial)",lemma,,
pro:rel:pron-DIAL,[R507],"VNW(betr,pron,dial)",lemma,,
pro:rel:det-DIAL,[R508],"VNW(betr,det,dial)",lemma,,
pro:excl:pron-DIAL,[R509],"VNW(excl,pron,dial)",lemma,,
pro:excl:det-DIAL,[R510],"VNW(excl,det,dial)",lemma,,
pro:dem:pron-DIAL,[R511],"VNW(aanw,pron,dial)",lemma,,
pro:dem:det-DIAL,[R512],"VNW(aanw,det,dial)",lemma,"diejen*d boek, dees*d week",
pro:indef:pron-DIAL,[R513],"VNW(onbep,pron,dial)",lemma,z’ hebben iet*d gezien,
pro:dem:det-DIAL,[R514],"VNW(onbep,det,dial)",lemma,ze kan elken*d dag vertrekken,
det:def-DIAL,[R601],"LID(bep,dial)",lemma,het gevecht met den*dbeer,
det:indef-DIAL,[R602],"LID(onbep,dial)",lemma,"nen*d toffe gast, ne*d vieze vent",
prep:init-DIAL,[R701],"VZ(init,dial)",lemma,me*d veel geduld,
prep:fin-DIAL,[R702],"VZ(fin,dial)",lemma,,
conj:neven-DIAL,[R801),"VG(neven,dial)",lemma,,
conj:onder-DIAL,[R802],"VG(onder,dial)",lemma,’t schijnt da*d ze nie*d kunnen komen,
adv-DIAL,[R901],BW(dial),lemma,"efkes*d, nie*d",
interj-DIAL,[R001],TSW(dial),lemma,"neeje*d, wablieft*d",
spec:afgebr,[T002],SPEC(afgebr),lemma,"uitge*a, binnen-",
spec:onverst,[T003],SPEC(onverst),lemma,"ggg, xxx, Xxx",
spec:vreemd,[T004],SPEC(vreemd),lemma,"whatever*v, ad, hoc, wishful",
spec:deeleigen,[T005],SPEC(deeleigen),lemma,"Den, Haag, New, York",
spec:meta,[T006],SPEC(meta),lemma,(het woord) homosexueel,
spec:comment,[T008],SPEC(comment),lemma,voor commentaren,
spec:achter,[T009],SPEC(achter),lemma,voor achtergrondgeluid,
spec:afk,[T010],SPEC(afk),lemma,"d.w.z., dwz, enz., EHBO",
spec:symb,[T011],SPEC(symb),lemma,"@, %, NaCl, =, emoticons",
punct,[T007],LET(),lemma,"., ..., ?",
